fixture_id,match_no,stage,group_name,kickoff_time_utc,venue,city,home_team_id,home_team_code,home_team_name,home_team_name_en,away_team_id,away_team_code,away_team_name,away_team_name_en,official_source
official-015,15,Group Stage,G,2026-06-16T01:00:00Z,SoFi Stadium,Inglewood,irn,IRN,伊朗,IR Iran,nzl,NZL,新西兰,New Zealand,fifa_official_pdf
official-016,16,Group Stage,G,2026-06-15T19:00:00Z,Lumen Field,Seattle,bel,BEL,比利时,Belgium,egy,EGY,埃及,Egypt,fifa_official_pdf
official-017,17,Group Stage,I,2026-06-16T19:00:00Z,MetLife Stadium,East Rutherford,fra,FRA,法国,France,sen,SEN,塞内加尔,Senegal,fifa_official_pdf
official-018,18,Group Stage,I,2026-06-16T22:00:00Z,Gillette Stadium,Foxborough,irq,IRQ,伊拉克,Iraq,nor,NOR,挪威,Norway,fifa_official_pdf
official-019,19,Group Stage,J,2026-06-17T01:00:00Z,Arrowhead Stadium,Kansas City,arg,ARG,阿根廷,Argentina,alg,ALG,阿尔及利亚,Algeria,fifa_official_pdf
official-020,20,Group Stage,J,2026-06-17T04:00:00Z,Levi's Stadium,Santa Clara,aut,AUT,奥地利,Austria,jor,JOR,约旦,Jordan,fifa_official_pdf
official-021,21,Group Stage,L,2026-06-17T23:00:00Z,BMO Field,Toronto,gha,GHA,加纳,Ghana,pan,PAN,巴拿马,Panama,fifa_official_pdf
official-022,22,Group Stage,L,2026-06-17T20:00:00Z,AT&T Stadium,Arlington,eng,ENG,英格兰,England,cro,CRO,克罗地亚,Croatia,fifa_official_pdf
official-023,23,Group Stage,K,2026-06-17T17:00:00Z,NRG Stadium,Houston,por,POR,葡萄牙,Portugal,cod,COD,刚果（金）,DR Congo,fifa_official_pdf
official-024,24,Group Stage,K,2026-06-18T02:00:00Z,Estadio Azteca,Mexico City,uzb,UZB,乌兹别克斯坦,Uzbekistan,col,COL,哥伦比亚,Colombia,fifa_official_pdf
official-025,25,Group Stage,A,2026-06-18T16:00:00Z,Mercedes-Benz Stadium,Atlanta,cze,CZE,捷克,Czechia,rsa,RSA,南非,South Africa,fifa_official_pdf
official-026,26,Group Stage,B,2026-06-18T19:00:00Z,SoFi Stadium,Inglewood,sui,SUI,瑞士,Switzerland,bih,BIH,波黑,Bosnia and Herzegovina,fifa_official_pdf
official-027,27,Group Stage,B,2026-06-18T22:00:00Z,BC Place,Vancouver,can,CAN,加拿大,Canada,qat,QAT,卡塔尔,Qatar,fifa_official_pdf
official-028,28,Group Stage,A,2026-06-19T01:00:00Z,Estadio Akron,Zapopan,mex,MEX,墨西哥,Mexico,kor,KOR,韩国,Korea Republic,fifa_official_pdf
official-029,29,Group Stage,C,2026-06-20T00:30:00Z,Lincoln Financial Field,Philadelphia,bra,BRA,巴西,Brazil,hai,HAI,海地,Haiti,fifa_official_pdf
official-030,30,Group Stage,C,2026-06-19T22:00:00Z,Gillette Stadium,Foxborough,sco,SCO,苏格兰,Scotland,mar,MAR,摩洛哥,Morocco,fifa_official_pdf
official-031,31,Group Stage,D,2026-06-20T03:00:00Z,Levi's Stadium,Santa Clara,tur,TUR,土耳其,Turkiye,par,PAR,巴拉圭,Paraguay,fifa_official_pdf
official-032,32,Group Stage,D,2026-06-19T19:00:00Z,Lumen Field,Seattle,usa,USA,美国,United States,aus,AUS,澳大利亚,Australia,fifa_official_pdf
official-033,33,Group Stage,E,2026-06-20T20:00:00Z,BMO Field,Toronto,ger,GER,德国,Germany,civ,CIV,科特迪瓦,Cote d'Ivoire,fifa_official_pdf
official-034,34,Group Stage,E,2026-06-21T00:00:00Z,Arrowhead Stadium,Kansas City,ecu,ECU,厄瓜多尔,Ecuador,cuw,CUW,库拉索,Curacao,fifa_official_pdf
official-035,35,Group Stage,F,2026-06-20T17:00:00Z,NRG Stadium,Houston,ned,NED,荷兰,Netherlands,swe,SWE,瑞典,Sweden,fifa_official_pdf
official-036,36,Group Stage,F,2026-06-21T04:00:00Z,Estadio BBVA,Guadalupe,tun,TUN,突尼斯,Tunisia,jpn,JPN,日本,Japan,fifa_official_pdf
official-037,37,Group Stage,H,2026-06-21T22:00:00Z,Hard Rock Stadium,Miami Gardens,uru,URU,乌拉圭,Uruguay,cpv,CPV,佛得角,Cabo Verde,fifa_official_pdf
official-038,38,Group Stage,H,2026-06-21T16:00:00Z,Mercedes-Benz Stadium,Atlanta,esp,ESP,西班牙,Spain,ksa,KSA,沙特阿拉伯,Saudi Arabia,fifa_official_pdf
