match_id,match_date_utc,competition_name,competition_type,competition_stage,home_team_id,home_team_code,home_team_name,home_team_name_en,away_team_id,away_team_code,away_team_name,away_team_name_en,home_score_ft,away_score_ft,result_90m,result_final,venue,city,country,neutral_flag,source,source_match_id
19930822-bra-ecu-fifa-world-cup-qualification,1993-08-22T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,bra,BRA,巴西,Brazil,ecu,ECU,厄瓜多尔,Ecuador,2,0,home,home,São Paulo,São Paulo,Brazil,0,martj42/international_results,1993-08-22__brazil__ecuador
19930822-par-col-fifa-world-cup-qualification,1993-08-22T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,par,PAR,巴拉圭,Paraguay,col,COL,哥伦比亚,Colombia,1,1,draw,draw,Asunción,Asunción,Paraguay,0,martj42/international_results,1993-08-22__paraguay__colombia
19930822-swe-fra-fifa-world-cup-qualification,1993-08-22T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,swe,SWE,瑞典,Sweden,fra,FRA,法国,France,1,1,draw,draw,Solna,Solna,Sweden,0,martj42/international_results,1993-08-22__sweden__france
19930829-arg-par-fifa-world-cup-qualification,1993-08-29T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,arg,ARG,阿根廷,Argentina,par,PAR,巴拉圭,Paraguay,0,0,draw,draw,Buenos Aires,Buenos Aires,Argentina,0,martj42/international_results,1993-08-29__argentina__paraguay
19930905-arg-col-fifa-world-cup-qualification,1993-09-05T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,arg,ARG,阿根廷,Argentina,col,COL,哥伦比亚,Colombia,0,5,away,away,Buenos Aires,Buenos Aires,Argentina,0,martj42/international_results,1993-09-05__argentina__colombia
19930905-ecu-uru-fifa-world-cup-qualification,1993-09-05T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,ecu,ECU,厄瓜多尔,Ecuador,uru,URU,乌拉圭,Uruguay,0,1,away,away,Guayaquil,Guayaquil,Ecuador,0,martj42/international_results,1993-09-05__ecuador__uruguay
19930908-nor-usa-friendly,1993-09-08T00:00:00Z,Friendly,friendly,Friendly,nor,NOR,挪威,Norway,usa,USA,美国,United States,1,0,home,home,Oslo,Oslo,Norway,0,martj42/international_results,1993-09-08__norway__united states
19930908-sco-sui-fifa-world-cup-qualification,1993-09-08T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,sco,SCO,苏格兰,Scotland,sui,SUI,瑞士,Switzerland,1,1,draw,draw,Aberdeen,Aberdeen,Scotland,0,martj42/international_results,1993-09-08__scotland__switzerland
19930919-bra-uru-fifa-world-cup-qualification,1993-09-19T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,bra,BRA,巴西,Brazil,uru,URU,乌拉圭,Uruguay,2,0,home,home,Rio de Janeiro,Rio de Janeiro,Brazil,0,martj42/international_results,1993-09-19__brazil__uruguay
19930922-tun-ger-friendly,1993-09-22T00:00:00Z,Friendly,friendly,Friendly,tun,TUN,突尼斯,Tunisia,ger,GER,德国,Germany,1,1,draw,draw,Tunis,Tunis,Tunisia,0,martj42/international_results,1993-09-22__tunisia__germany
19930924-kor-aus-friendly,1993-09-24T00:00:00Z,Friendly,friendly,Friendly,kor,KOR,韩国,Korea Republic,aus,AUS,澳大利亚,Australia,1,1,draw,draw,Seoul,Seoul,South Korea,0,martj42/international_results,1993-09-24__south korea__australia
19930926-kor-aus-friendly,1993-09-26T00:00:00Z,Friendly,friendly,Friendly,kor,KOR,韩国,Korea Republic,aus,AUS,澳大利亚,Australia,1,0,home,home,Seoul,Seoul,South Korea,0,martj42/international_results,1993-09-26__south korea__australia
19931004-jpn-civ-friendly,1993-10-04T00:00:00Z,Friendly,friendly,Friendly,jpn,JPN,日本,Japan,civ,CIV,科特迪瓦,Cote d'Ivoire,1,0,home,home,Tokyo,Tokyo,Japan,0,martj42/international_results,1993-10-04__japan__ivory coast
19931006-mex-rsa-friendly,1993-10-06T00:00:00Z,Friendly,friendly,Friendly,mex,MEX,墨西哥,Mexico,rsa,RSA,南非,South Africa,4,0,home,home,Los Angeles,Los Angeles,United States,1,martj42/international_results,1993-10-06__mexico__south africa
19931013-ger-uru-friendly,1993-10-13T00:00:00Z,Friendly,friendly,Friendly,ger,GER,德国,Germany,uru,URU,乌拉圭,Uruguay,5,0,home,home,Karlsruhe,Karlsruhe,Germany,0,martj42/international_results,1993-10-13__germany__uruguay
19931013-ned-eng-fifa-world-cup-qualification,1993-10-13T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,ned,NED,荷兰,Netherlands,eng,ENG,英格兰,England,2,0,home,home,Rotterdam,Rotterdam,Netherlands,0,martj42/international_results,1993-10-13__netherlands__england
19931013-por-sui-fifa-world-cup-qualification,1993-10-13T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,por,POR,葡萄牙,Portugal,sui,SUI,瑞士,Switzerland,1,0,home,home,Porto,Porto,Portugal,0,martj42/international_results,1993-10-13__portugal__switzerland
